event_id,event_name,entity,entity_type,pct_global_CO2_1854_2022,loss_eur_low,loss_eur_central,loss_eur_high
E1,April 2023 Iberian heatwave,Kazakhstan,nation_state,0.39,67288.8897303548,84111.1121629435,117755.55702812088
E1,April 2023 Iberian heatwave,Equinor,investor_owned,0.39,67029.05362636321,83786.31703295402,117300.8438461356
E1,April 2023 Iberian heatwave,RWE,investor_owned,0.38,65695.22829253973,82119.03536567466,114966.6495119445
E1,April 2023 Iberian heatwave,Rio Tinto,investor_owned,0.34,58610.36385703577,73262.95482129473,102568.13674981259
E1,April 2023 Iberian heatwave,Glencore,investor_owned,0.32,54816.75673875859,68520.94592344823,95929.32429282751
E1,April 2023 Iberian heatwave,Alpha Metallurgical Resources,investor_owned,0.31,53067.19363854857,66333.99204818571,92867.58886745997
E1,April 2023 Iberian heatwave,ONGC India,state_owned,0.3,51248.340910607454,64060.42613825932,89684.59659356304
E1,April 2023 Iberian heatwave,Sasol,investor_owned,0.25,43236.72770420017,54045.909630250215,75664.27348235028
E1,April 2023 Iberian heatwave,Ukraine,nation_state,0.25,43037.52002447329,53796.90003059161,75315.66004282824
E1,April 2023 Iberian heatwave,Surgutneftegas,investor_owned,0.25,41010.7984133389,51263.49801667363,71768.89722334307
E1,April 2023 Iberian heatwave,Repsol,investor_owned,0.23,39702.95668991459,49628.69586239323,69480.17420735052
E1,April 2023 Iberian heatwave,Petroleum Development Oman,state_owned,0.22,37996.69960703649,47495.87450879561,66494.22431231385
E1,April 2023 Iberian heatwave,Sinopec,state_owned,0.23,37884.10396197347,47355.129952466836,66297.18193345357
E1,April 2023 Iberian heatwave,Egyptian General Petroleum,state_owned,0.22,37399.07656785584,46748.8457098198,65448.38399374771
E1,April 2023 Iberian heatwave,TurkmenGaz,state_owned,0.19,36576.26223854914,45720.32779818643,64008.45891746099
E1,April 2023 Iberian heatwave,Petoro,state_owned,0.21,36151.863268696216,45189.829085870275,63265.76072021837
E1,April 2023 Iberian heatwave,CNOOC,state_owned,0.22,35918.01077510379,44897.51346887973,62856.51885643162
E1,April 2023 Iberian heatwave,North Korea,nation_state,0.21,35545.579026049185,44431.97378256148,62204.76329558606
E1,April 2023 Iberian heatwave,Marathon Oil,investor_owned,0.19,32947.217986133306,41184.02248266663,57657.63147573327
E1,April 2023 Iberian heatwave,Bumi Resources,investor_owned,0.19,32583.447440545082,40729.30930068135,57021.03302095389
E1,April 2023 Iberian heatwave,Devon Energy,investor_owned,0.16,28555.987828675476,35694.984785844346,49972.97870018207
E1,April 2023 Iberian heatwave,Singareni Collieries,state_owned,0.17,28504.020607877155,35630.025759846445,49882.03606378502
E1,April 2023 Iberian heatwave,Sonangol,state_owned,0.18,28417.408573213295,35521.76071651662,49730.46500312326
E1,April 2023 Iberian heatwave,Holcim Group,investor_owned,0.18,27481.99859884358,34352.498248554475,48093.49754797626
E1,April 2023 Iberian heatwave,Novatek,investor_owned,0.14,26815.08593193184,33518.8574149148,46926.40038088071
E1,April 2023 Iberian heatwave,Ecopetrol,state_owned,0.16,26815.08593193184,33518.8574149148,46926.40038088071
E1,April 2023 Iberian heatwave,Suncor Energy,investor_owned,0.16,26607.21704873857,33259.02131092321,46562.629835292486
E1,April 2023 Iberian heatwave,Hess Corporation,investor_owned,0.15,26208.8016892848,32761.002111605998,45865.40295624839
E1,April 2023 Iberian heatwave,Ovintiv,investor_owned,0.14,25922.981974894054,32403.727468617566,45365.218456064584
E1,April 2023 Iberian heatwave,Czech Republic,nation_state,0.14,23705.713887499176,29632.142359373967,41484.99930312355
E1,April 2023 Iberian heatwave,Canadian Natural Resources,investor_owned,0.13,22865.577151259706,28581.971439074634,40014.76001470448
